date,direction,entry,exit,reason,ret_pct
2026-01-30,long,691.02,691.34,revert_vwap,0.006
2026-02-02,short,695.55,696.22,stop,-0.137
2026-02-02,short,696.4,696.52,stop,-0.057
2026-02-02,short,696.47,696.71,stop,-0.074
2026-02-02,short,695.52,695.45,eod_close,-0.03
2026-02-03,long,690.8,687.7,stop,-0.489
2026-02-03,long,686.36,689.47,eod_close,0.412
2026-02-04,long,686.82,688.27,revert_vwap,0.171
2026-02-05,long,677.08,681.24,revert_vwap,0.574
2026-02-05,long,677.77,677.45,eod_close,-0.087
2026-02-06,short,686.65,688.26,stop,-0.274
2026-02-06,short,688.56,690.6,eod_close,-0.336
2026-02-09,short,694.69,695.74,stop,-0.192
2026-02-09,short,695.42,693.91,eod_close,0.177
2026-02-10,long,694.43,695.25,revert_vwap,0.078
2026-02-10,long,693.44,692.09,eod_close,-0.235
2026-02-11,long,691.84,692.88,revert_vwap,0.111
2026-02-12,long,686.29,681.29,eod_close,-0.769
2026-02-13,short,683.83,685.3,stop,-0.256
2026-02-13,short,685.82,682.4,revert_vwap,0.459
2026-02-17,short,681.62,682.49,eod_close,-0.168
2026-02-18,short,688.36,688.79,stop,-0.102
2026-02-18,long,684.59,684.86,eod_close,-0.001
2026-02-19,long,684.15,682.41,stop,-0.294
2026-02-19,long,682.4,684.52,eod_close,0.271
2026-02-20,short,688.57,685.23,revert_vwap,0.445
2026-02-20,short,687.48,689.12,stop,-0.279
2026-02-20,short,688.31,689.35,eod_close,-0.191
2026-02-23,long,681.18,682.4,eod_close,0.14
2026-02-24,short,686.09,687.5,stop,-0.246
2026-02-24,short,687.37,687.36,eod_close,-0.039
2026-02-25,short,691.47,693.1,eod_close,-0.276
2026-02-26,long,686.24,688.61,revert_vwap,0.305
2026-02-27,short,685.16,683.68,revert_vwap,0.175
2026-02-27,short,685.59,685.74,eod_close,-0.062
2026-03-02,short,686.24,686.48,stop,-0.076
2026-03-02,short,687.22,688.2,stop,-0.183
2026-03-02,short,688.42,686.78,eod_close,0.198
2026-03-03,short,676.01,680.62,eod_close,-0.723
2026-03-04,short,685.07,686.54,stop,-0.256
2026-03-04,short,686.73,686.78,stop,-0.047
2026-03-04,short,685.67,685.16,eod_close,0.034
2026-03-05,long,679.54,678.52,stop,-0.189
2026-03-05,long,676.48,677.17,stop,0.062
2026-03-05,long,676.62,681.41,eod_close,0.668
2026-03-06,short,674.42,673.1,revert_vwap,0.156
2026-03-06,short,674.41,672.46,eod_close,0.249
2026-03-09,short,669.0,677.39,stop,-1.293
2026-03-10,short,680.68,679.54,revert_vwap,0.128
2026-03-10,long,677.41,677.05,eod_close,-0.093
2026-03-11,long,674.61,676.35,eod_close,0.218
2026-03-12,long,667.07,669.3,revert_vwap,0.294
2026-03-12,long,667.81,666.87,eod_close,-0.181
2026-03-13,long,664.59,663.4,stop,-0.219
2026-03-13,long,664.32,662.63,stop,-0.294
2026-03-13,long,663.34,662.28,stop,-0.201
2026-03-16,long,668.06,669.7,revert_vwap,0.205
2026-03-17,long,671.01,670.75,eod_close,-0.079
2026-03-18,long,666.93,665.84,stop,-0.204
2026-03-18,long,666.12,663.41,stop,-0.447
2026-03-18,long,662.91,661.57,eod_close,-0.242
2026-03-19,long,657.17,658.14,revert_vwap,0.108
2026-03-19,short,658.45,659.72,eod_close,-0.233
2026-03-20,long,652.47,650.8,stop,-0.296
2026-03-20,long,650.5,648.07,stop,-0.413
2026-03-20,long,647.12,648.52,eod_close,0.177
2026-03-23,short,660.89,656.01,revert_vwap,0.698
2026-03-23,long,655.97,658.95,revert_vwap,0.414
2026-03-24,short,656.04,653.4,revert_vwap,0.362
2026-03-25,short,658.43,657.18,revert_vwap,0.151
2026-03-26,long,651.69,649.45,stop,-0.384
2026-03-26,long,649.22,646.67,stop,-0.432
2026-03-26,long,647.04,646.0,eod_close,-0.202
2026-03-27,long,637.57,634.08,eod_close,-0.587
2026-03-30,short,637.0,635.38,revert_vwap,0.213
2026-03-30,long,635.3,633.4,stop,-0.339
2026-03-30,long,633.57,629.58,stop,-0.67
2026-03-31,short,642.11,646.64,stop,-0.745
2026-03-31,short,646.97,650.24,eod_close,-0.545
2026-04-01,short,656.69,657.82,stop,-0.212
2026-04-01,short,657.18,658.3,stop,-0.211
2026-04-02,short,655.28,654.36,eod_close,0.1
2026-04-06,long,657.0,657.79,revert_vwap,0.08
2026-04-06,long,656.95,658.16,revert_vwap,0.144
2026-04-07,long,652.79,655.98,revert_vwap,0.449
2026-04-07,short,656.03,653.96,revert_vwap,0.275
2026-04-08,long,673.01,675.04,revert_vwap,0.262
2026-04-08,short,675.74,672.94,revert_vwap,0.374
2026-04-09,short,675.94,678.84,stop,-0.468
2026-04-09,short,679.9,679.88,eod_close,-0.036
2026-04-10,long,679.46,679.31,eod_close,-0.062
2026-04-13,short,680.3,681.39,stop,-0.2
2026-04-13,short,682.15,682.3,stop,-0.062
2026-04-13,short,682.14,683.17,stop,-0.192
2026-04-13,short,683.8,686.0,eod_close,-0.361
2026-04-14,short,691.42,693.42,stop,-0.329
2026-04-14,short,692.95,694.12,stop,-0.21
2026-04-15,short,697.37,698.5,stop,-0.202
2026-04-15,short,698.8,700.01,stop,-0.213
2026-04-16,short,700.78,699.79,revert_vwap,0.101
2026-04-17,short,710.28,709.2,revert_vwap,0.112
2026-04-20,long,706.99,708.69,eod_close,0.2
2026-04-21,long,707.04,707.72,revert_vwap,0.056
2026-04-22,short,710.2,709.2,revert_vwap,0.101
2026-04-22,short,710.12,709.44,revert_vwap,0.056
2026-04-22,short,710.45,710.54,eod_close,-0.053
2026-04-23,short,712.09,711.1,revert_vwap,0.098
2026-04-23,long,706.05,708.51,revert_vwap,0.308
2026-04-24,short,711.85,713.77,stop,-0.31
2026-04-24,short,713.28,713.97,eod_close,-0.137
2026-04-27,long,712.57,714.06,revert_vwap,0.169
2026-04-27,short,714.61,715.15,eod_close,-0.116
2026-04-28,long,710.1,711.03,revert_vwap,0.091
2026-04-29,short,711.38,710.04,revert_vwap,0.148
2026-04-29,long,709.76,710.61,revert_vwap,0.079
2026-04-29,long,709.22,711.21,revert_vwap,0.241
2026-04-30,short,714.43,717.06,stop,-0.408
2026-04-30,short,717.88,719.24,stop,-0.229
2026-05-01,short,724.2,722.14,revert_vwap,0.244
2026-05-01,long,721.15,720.65,eod_close,-0.109
2026-05-04,long,717.96,718.07,eod_close,-0.025
2026-05-05,short,723.42,723.75,stop,-0.086
2026-05-05,short,723.47,723.86,stop,-0.093
2026-05-05,short,724.02,724.54,stop,-0.112
2026-05-05,short,724.34,724.72,stop,-0.093
2026-05-06,short,732.05,732.97,stop,-0.166
2026-05-06,short,733.86,733.77,eod_close,-0.028
2026-05-07,short,735.35,733.36,revert_vwap,0.23
2026-05-07,long,732.04,731.57,eod_close,-0.104
2026-05-08,short,736.91,737.54,stop,-0.126
2026-05-08,short,737.73,737.73,stop,-0.04
2026-05-08,long,736.38,737.53,eod_close,0.116
2026-05-11,short,739.56,740.42,stop,-0.156
2026-05-11,short,739.6,738.52,revert_vwap,0.106
2026-05-12,long,732.13,734.34,revert_vwap,0.262
2026-05-13,short,739.28,739.79,stop,-0.109
2026-05-13,short,740.6,741.78,stop,-0.199
2026-05-13,short,742.62,742.32,eod_close,0.0
2026-05-14,short,747.94,748.09,eod_close,-0.06
2026-05-15,short,741.23,740.2,revert_vwap,0.099
2026-05-15,short,741.22,742.52,stop,-0.215
2026-05-15,short,742.96,740.54,revert_vwap,0.286
2026-05-18,long,735.62,733.83,stop,-0.283
2026-05-18,long,736.15,738.56,eod_close,0.287
2026-05-19,long,732.23,734.49,revert_vwap,0.269
2026-05-19,short,736.12,734.45,revert_vwap,0.187
2026-05-20,short,739.27,741.3,eod_close,-0.315
2026-05-21,short,742.15,742.75,eod_close,-0.121
2026-05-22,long,745.58,745.59,eod_close,-0.039
2026-05-27,long,749.52,750.33,revert_vwap,0.067
2026-05-27,short,750.81,750.48,eod_close,0.004
2026-05-28,short,753.52,754.87,stop,-0.219
2026-05-28,short,754.78,754.64,eod_close,-0.022
2026-05-29,long,755.27,756.86,revert_vwap,0.171
2026-06-01,short,756.16,757.95,stop,-0.277
2026-06-01,short,757.62,759.82,stop,-0.332
2026-06-01,short,759.82,759.4,eod_close,0.016
2026-06-02,short,760.16,759.46,eod_close,0.051
2026-06-03,long,756.12,755.21,stop,-0.16
2026-06-03,long,755.31,755.98,revert_vwap,0.049
2026-06-03,long,754.84,754.19,eod_close,-0.127
2026-06-04,short,755.86,756.5,stop,-0.124
2026-06-04,short,756.64,757.11,stop,-0.102
2026-06-04,short,757.68,757.82,stop,-0.058
2026-06-04,short,757.62,758.29,stop,-0.128
2026-06-05,long,748.15,746.59,stop,-0.248
2026-06-05,long,745.17,739.23,stop,-0.837
2026-06-05,long,738.45,737.43,eod_close,-0.178
2026-06-08,long,741.13,739.31,eod_close,-0.286
2026-06-09,long,737.87,729.06,stop,-1.234
2026-06-09,long,727.36,735.1,revert_vwap,1.024
2026-06-10,long,728.44,726.95,eod_close,-0.245
2026-06-11,long,727.18,729.67,revert_vwap,0.302
2026-06-11,long,726.52,732.52,revert_vwap,0.786
2026-06-11,short,734.95,737.64,eod_close,-0.406
2026-06-12,short,744.15,741.63,eod_close,0.299
2026-06-15,short,755.14,756.16,stop,-0.175
2026-06-15,short,756.5,754.37,revert_vwap,0.242
2026-06-16,long,753.38,752.73,stop,-0.126
2026-06-16,long,752.16,750.39,eod_close,-0.275
2026-06-17,long,749.36,746.22,stop,-0.459
2026-06-17,long,746.0,742.1,stop,-0.563
